ID;Label;Interval;type;Degree;Weighted Degree;Eccentricity;Closeness Centrality;Harmonic Closness Centrality;Betweeness Centrality;PageRank;Component Number;Authority;Hub;stat_inf_class;clustering;Number of triangles;Modularity Class;Eigen Centrality
(E,E)-2,4-decadienal;(E,E)-2,4-decadienal;;molecule;3;3.0;6.0;0.2508250825082508;0.26578947368420924;7.839612317291899;5.196744394805913E-4;0;0.0013125722;0.0032939739;33;0.0;0;2;0.01172674854895546
(E,Z)-2,6-nonadienal;(E,Z)-2,6-nonadienal;;molecule;3;3.0;6.0;0.2477037037037037;0.2627192982456131;25.458659872453964;6.075699064032776E-4;0;0.0011733582;0.002944613;21;0.0;0;0;0.00995575357042932
(E)-2-hexenal;(E)-2-hexenal;;molecule;5;5.0;6.0;0.25970798384591487;0.27878787878787836;96.38903539330326;8.244246088329857E-4;0;0.0020900015;0.005244984;6;0.0;0;1;0.018262805099016382
(E)-2-nonenal;(E)-2-nonenal;;molecule;9;9.0;6.0;0.2810084033613445;0.3111244019138748;544.5606936878849;0.0013700775509457317;0;0.0048586014;0.0121929515;11;0.0;0;0;0.04199331928449461
(Z)-3-hexenal;(Z)-3-hexenal;;molecule;3;3.0;7.0;0.22711219777234448;0.2403223969013434;9.192470167633553;7.53023220494408E-4;0;1.7246955E-4;4.328152E-4;21;0.0;0;0;0.0030593482359965985
(Z)-6-nonenal;(Z)-6-nonenal;;molecule;1;1.0;8.0;0.2011065672359875;0.21006493506493404;0.0;3.815608234527205E-4;0;4.52079E-5;1.1345224E-4;38;0.0;0;1;5.91670685605591E-4
1,3,8-p-menthatriene;1,3,8-p-menthatriene;;molecule;4;4.0;6.0;0.24508941659337438;0.26461323763955175;38.82296436146256;6.36107289512385E-4;0;0.0023079244;0.0057918937;24;0.0;0;2;0.017251485275419757
1,8-cineole;1,8-cineole;;molecule;3;3.0;6.0;0.27636363636363637;0.30494417862838835;79.22515144512673;5.523725443640997E-4;0;0.006553291;0.016445931;28;0.0;0;3;0.045538753351443605
12-methyltridecanal;12-methyltridecanal;;molecule;7;7.0;6.0;0.2532565889124508;0.27224880382775;97.74590497868832;0.00112078920351048;0;0.001331846;0.0033423335;11;0.0;0;0;0.01456536991320783
1-octen-3-ol;1-octen-3-ol;;molecule;20;20.0;6.0;0.27116445021083363;0.3046850079744807;1673.2296349444237;0.0029336063061712286;0;0.004351724;0.010920878;3;0.0;0;0;0.04477562368408422
1-octen-3-one;1-octen-3-one;;molecule;1;1.0;8.0;0.21674876847290642;0.22826384142173464;0.0;3.427737473948717E-4;0;1.3889707E-4;3.485699E-4;18;0.0;0;0;0.001441447204856464
1-penten-3-ol;1-penten-3-ol;;molecule;1;1.0;8.0;0.22564102564102564;0.2381778309409879;0.0;3.2250437840536665E-4;0;1.9785429E-4;4.965259E-4;27;0.0;0;2;0.001973960205734815
2,3-butanedione;2,3-butanedione;;molecule;1;1.0;8.0;0.21540839989693378;0.22619759626338432;0.0;3.489766936768345E-4;0;8.483148E-5;2.1288914E-4;11;0.0;0;1;0.0010388794983607267
2,6,6-trimethyl-1,3-cyclohexadiene-1-carbaldehyde;2,6,6-trimethyl-1,3-cyclohexadiene-1-carbaldehyde;;molecule;1;1.0;6.0;0.24638962569997053;0.2659090909090893;0.0;2.824666567442921E-4;0;0.0032860553;0.00824658;36;0.0;0;2;0.022277950024061327
2,6-nonadienal;2,6-nonadienal;;molecule;1;1.0;8.0;0.21902017291066284;0.23135680109364223;0.0;4.058853656406495E-4;0;5.944771E-5;1.4918514E-4;20;0.0;0;0;0.0010129016431291054
2-acetyl-1-pyrroline;2-acetyl-1-pyrroline;;molecule;22;22.0;6.0;0.3049981758482306;0.34860446570972875;3256.036725180332;0.003014053545124795;0;0.011328312;0.02842913;26;0.0;0;1;0.0903628273900768
2-furfurylthiol;2-furfurylthiol;;molecule;12;12.0;6.0;0.2573099415204678;0.2792264752791056;133.7064168019768;0.0017203522834427713;0;0.0027164423;0.00681704;30;0.0;0;0;0.028795420070615918
2-heptanone;2-heptanone;;molecule;2;2.0;6.0;0.26100530752419604;0.2879186602870804;30.728079491472503;4.173947539876672E-4;0;0.0038256485;0.009600723;31;0.0;0;1;0.028796443610953956
2-heptenal;2-heptenal;;molecule;1;1.0;8.0;0.22735926026652162;0.23911483253588428;0.0;3.8367498774905776E-4;0;1.042222E-4;2.615498E-4;27;0.0;0;0;0.0013509517964339838
2-methyl-3-furanthiol;2-methyl-3-furanthiol;;molecule;2;2.0;6.0;0.24267053701015964;0.2553628389154694;14.969314153746579;5.175018109088813E-4;0;3.8275647E-4;9.6054515E-4;33;0.0;0;0;0.004286304737114511
2-methylisoborneol;2-methylisoborneol;;molecule;2;2.0;8.0;0.19509918319719954;0.20569463431305468;2.831261167366385;5.253213963941554E-4;0;5.5611155E-5;1.3955939E-4;27;0.0;0;0;0.0010537177312118394
2-nonanone;2-nonanone;;molecule;1;1.0;6.0;0.25636307881018094;0.28235645933014275;0.0;2.847157236752589E-4;0;0.003658127;0.0091803195;7;0.0;0;1;0.026954606413647678
2-pentenal;2-pentenal;;molecule;1;1.0;8.0;0.22735926026652162;0.23911483253588428;0.0;3.8367498774905776E-4;0;1.042222E-4;2.615498E-4;27;0.0;0;0;0.0013509517964339838
2-pentylfuran;2-pentylfuran;;molecule;10;10.0;6.0;0.24624447717231224;0.2652511961722477;83.82144427446546;0.0015751464586845367;0;0.0012089977;0.0030340112;11;0.0;0;0;0.01740300447994922
2-phenylethyl isothiocyanate;2-phenylethyl isothiocyanate;;molecule;2;2.0;7.0;0.22169185892336252;0.23176976532239538;7.247811040028673;5.281352641626525E-4;0;1.7679684E-4;4.4368347E-4;25;0.0;0;0;0.001899252937869774
3-butenyl isothiocyanate;3-butenyl isothiocyanate;;molecule;1;1.0;7.0;0.21948017852454713;0.22856003645477194;0.0;3.346909340063724E-4;0;1.12540736E-4;2.8242846E-4;25;0.0;0;0;0.0012325956992780423
3-hexen-1-ol;3-hexen-1-ol;;molecule;1;1.0;8.0;0.2149652867060941;0.22796764638869793;0.0;4.390388326606312E-4;0;4.3764026E-5;1.09825836E-4;24;0.0;0;3;9.553410145495916E-4
3-methylbutanal;3-methylbutanal;;molecule;9;9.0;6.0;0.26855123674911663;0.2989633173843688;603.4239404730819;0.0013884367505652068;0;0.005020044;0.012598134;26;0.0;0;1;0.038243982721163236
3-methylthiopropanal;3-methylthiopropanal;;molecule;4;4.0;6.0;0.2446590576529119;0.2580342902711313;20.55704897246376;7.517041874800542E-4;0;4.5511097E-4;0.0011421227;20;0.0;0;0;0.005516303178769247
3-octanone;3-octanone;;molecule;2;2.0;8.0;0.21765165321530852;0.2300780359990871;4.471415645427742;5.270532422878453E-4;0;1.8608948E-4;4.670021E-4;18;0.0;0;0;0.0020565828393060838
4-methylguaiacol;4-methylguaiacol;;molecule;5;5.0;6.0;0.25371775417298936;0.272906698564592;99.11918930306963;8.307791597085411E-4;0;0.0020624239;0.005175772;14;0.0;0;0;0.018218532457819757
4-methylnonanoic acid;4-methylnonanoic acid;;molecule;4;4.0;6.0;0.24085278017862288;0.25691786283891416;76.05161517652265;7.555065274844954E-4;0;6.683848E-4;0.001677349;12;0.0;0;0;0.007032672267487565
4-methyloctanoic acid;4-methyloctanoic acid;;molecule;12;12.0;6.0;0.2521870286576169;0.27334529505582017;559.3135161074532;0.0019323673816755778;0;0.0012658157;0.0031766235;12;0.0;0;0;0.015964347022544467
4-methylphenol;4-methylphenol;;molecule;1;1.0;8.0;0.2302396034150372;0.24299527227158704;0.0;3.138671069034069E-4;0;2.7231107E-4;6.833798E-4;12;0.0;0;2;0.002627861735708985
4-vinylguaiacol;4-vinylguaiacol;;molecule;2;2.0;6.0;0.2577860006167129;0.2799441786283879;43.91208265720649;4.346194593423334E-4;0;0.0034387996;0.0086299;5;0.0;0;1;0.024377991980023408
5-hydroxymethylfurfural;5-hydroxymethylfurfural;;molecule;1;1.0;7.0;0.21742522756827048;0.22582592845750643;0.0;3.533909234768028E-4;0;9.719642E-5;2.4392096E-4;26;0.0;0;1;0.0010150348763509173
A birsalma-julepet, azaz birsalma-szirupot így fõzd;A birsalma-julepet, azaz birsalma-szirupot így fõzd;;dish;8;8.0;6.0;0.3104344597103602;0.34238437001594885;1683.6078031438767;0.001292698540431431;0;0.0075025996;0.01882828;39;0.0;0;1;0.05777886823398757
A birsalma-sajtot így csináld;A birsalma-sajtot így csináld;;dish;7;7.0;6.0;0.3076923076923077;0.3387958532695375;2280.7555846536607;0.001433657415293629;0;0.007485971;0.018786555;5;0.0;0;1;0.056078887939970574
acetaldehyde;acetaldehyde;;molecule;2;2.0;6.0;0.2409916402421447;0.25895135566188104;34.58644522468116;4.3518556779933504E-4;0;0.001075067;0.0026979519;31;0.0;0;1;0.009194333981561711
acetaldehyde (trace);acetaldehyde (trace);;molecule;1;1.0;6.0;0.25636307881018094;0.28235645933014275;0.0;2.847157236752589E-4;0;0.003658127;0.0091803195;7;0.0;0;1;0.026954606413647678
acetic acid;acetic acid;;molecule;6;6.0;6.0;0.27545304777594726;0.2996810207336518;479.7033277332818;9.945338750875733E-4;0;0.003601943;0.009039317;25;0.0;0;2;0.027604282954756372
acetoin;acetoin;;molecule;8;8.0;6.0;0.28542164561283717;0.3215111642743219;1250.9259721812643;0.001218137023480234;0;0.007664824;0.019235397;31;0.0;0;1;0.057741734089146825
A citrom-pogácsát tiszta nádcukorból így csináld;A citrom-pogácsát tiszta nádcukorból így csináld;;dish;3;3.0;6.0;0.25249169435215946;0.2730063795853263;93.78134768877983;5.69741349421866E-4;0;0.0018289522;0.0045898804;24;0.0;0;3;0.015484676954219323
A fejér bis-coctumot, azaz fehér piskótát így csináld;A fejér bis-coctumot, azaz fehér piskótát így csináld;;dish;4;4.0;6.0;0.27364975450081835;0.29573365231259996;171.60325629163594;6.81350696940524E-4;0;0.0027732828;0.0069597396;5;0.0;0;1;0.023334044834527133
ajoene;ajoene;;molecule;1;1.0;8.0;0.21844787039456492;0.2301592048302561;0.0;3.2218327634286306E-4;0;4.1353627E-4;0.0010377978;29;0.0;0;2;0.0032986170682745186
allicin;allicin;;molecule;3;3.0;8.0;0.22564102564102564;0.24033236500341612;70.05870975094878;7.626812226546943E-4;0;5.4779E-4;0.0013747164;14;0.0;0;0;0.004906019357528744
allyl isothiocyanate;allyl isothiocyanate;;molecule;6;6.0;6.0;0.23384615384615384;0.25039872408293334;186.62004796740837;0.0011285694547371826;0;4.4265398E-4;0.0011108693;25;0.0;0;0;0.005491791340132078
allyl methyl sulfide;allyl methyl sulfide;;molecule;1;1.0;8.0;0.20657276995305165;0.2149891774891764;0.0;4.08132730632416E-4;0;6.521306E-5;1.636566E-4;14;0.0;0;0;6.976670284036547E-4
allyl methyl trisulfide;allyl methyl trisulfide;;molecule;1;1.0;6.0;0.24029893647599884;0.2564194577352456;0.0;2.8373529698604927E-4;0;0.001970885;0.0049460707;8;0.0;0;2;0.013700770055990737
alma;alma;;ingredient;26;26.0;5.0;0.32253086419753085;0.3578149920255181;4033.151104292682;0.003311616456905415;0;0.054264177;0.021622924;6;0.0;0;1;0.16154743156224086
Alma-étek;Alma-étek;;dish;4;4.0;6.0;0.2961388593694651;0.32583732057416254;209.78814473026367;6.220095353226684E-4;0;0.0075945077;0.019058926;6;0.0;0;1;0.056785528641922434
Alma-fánk;Alma-fánk;;dish;7;7.0;6.0;0.3326701153999204;0.367603668261563;435.687666181068;9.097914096521213E-4;0;0.020922763;0.052507088;23;0.0;0;1;0.149822832415968
Alma-kása;Alma-kása;;dish;8;8.0;6.0;0.33969930922389274;0.3749003189792662;861.3513383678279;0.0010628002465207082;0;0.019158017;0.048078347;5;0.0;0;1;0.14141590130716528
Alma-lév;Alma-lév;;dish;6;6.0;6.0;0.3074659801397573;0.3405701754385963;247.32438390597844;8.206509701944886E-4;0;0.013042177;0.03273023;13;0.0;0;1;0.09349900247206719
alpha-tocopherol (vitamin E);alpha-tocopherol (vitamin E);;molecule;1;1.0;8.0;0.17191034340941805;0.17851874003189827;0.0;6.013285618700567E-4;0;1.4070393E-6;3.5310406E-6;5;0.0;0;3;4.4894577867679217E-4
aludttej;aludttej;;ingredient;6;6.0;7.0;0.25612745098039214;0.27653793574846286;138.64191526723104;0.0010231732593908992;0;0.004451096;0.00177365;31;0.0;0;1;0.015098671953551072
A mandula-olajat így csináld;A mandula-olajat így csináld;;dish;1;1.0;6.0;0.23635849590048064;0.2503987240829336;0.0;2.9200464280673146E-4;0;0.001277223;0.003205279;10;0.0;0;1;0.009456780206290741
A marcafántot, azaz marcipánt így csináld;A marcafántot, azaz marcipánt így csináld;;dish;9;9.0;6.0;0.30723998529952223;0.34132775119617215;3386.400654439958;0.001897842003404652;0;0.007923672;0.019884998;5;0.0;0;1;0.05950572134315311
anethole;anethole;;molecule;1;1.0;6.0;0.2263742215001354;0.23688197767145022;0.0;3.2671696897579176E-4;0;4.4951367E-4;0.0011280851;12;0.0;0;2;0.003469119697149097
anthocyanins volatiles;anthocyanins volatiles;;molecule;1;1.0;8.0;0.20667490729295426;0.21558868762816033;0.0;3.556071153462498E-4;0;5.1146657E-5;1.2835606E-4;35;0.0;0;1;7.249669449998304E-4
apiole;apiole;;molecule;5;5.0;6.0;0.2502244836875187;0.27318580542264587;67.42466079454734;7.375569994277987E-4;0;0.0037228612;0.009342774;24;0.0;0;2;0.02707907153301425
Apró fánkocskákat így csinálj;Apró fánkocskákat így csinálj;;dish;5;5.0;7.0;0.24071408004606967;0.25800580997949357;541.737647548482;0.001073133474747977;0;3.5982073E-4;9.0299285E-4;5;0.0;0;1;0.004875755362362248
apró madarak;apró madarak;;ingredient;4;4.0;5.0;0.30940044411547;0.33389154704944274;176.21091019336444;6.443241319677684E-4;0;0.00883598;0.0035209274;30;0.0;0;0;0.03483755700180226
Apró veres szõlõ-, málna-, eper-liktáriomok;Apró veres szõlõ-, málna-, eper-liktáriomok;;dish;6;6.0;6.0;0.2569935444205349;0.28129984051036644;990.0979299354096;0.0011433855124983493;0;0.0020933263;0.005253345;35;0.0;0;1;0.018863459604061775
apró vörös szőlő;apró vörös szőlő;;ingredient;5;5.0;6.0;0.25882352941176473;0.27920653907496035;296.1241078490718;9.503729773177007E-4;0;0.0026323225;0.0010489147;35;0.0;0;1;0.010312119508786535
aranyfüst;aranyfüst;;ingredient;1;1.0;7.0;0.23509561304836896;0.24936773752563218;0.0;3.5886685415353886E-4;0;8.3606114E-4;3.3314934E-4;5;0.0;0;1;0.0027966757419808012
ar-curcumene;ar-curcumene;;molecule;1;1.0;6.0;0.27169320766980826;0.2987041467304614;0.0;2.803600023681966E-4;0;0.006051624;0.015186964;2;0.0;0;2;0.04116540310552115
árpagyöngy;árpagyöngy;;ingredient;5;5.0;7.0;0.2744583059750492;0.29755354294828124;938.1464460306017;0.0010014045396155818;0;0.005063386;0.0020176356;11;0.0;0;1;0.01786716144526665
Árpa-kása;Árpa-kása;;dish;3;3.0;6.0;0.2709886547811994;0.3000398724082929;192.70132294371246;5.660112858299944E-4;0;0.0047434526;0.011904014;11;0.0;0;1;0.03625822644126316
ascorbic acid;ascorbic acid;;molecule;1;1.0;6.0;0.2311307713574786;0.24226475279106768;0.0;3.02919860039635E-4;0;4.90963E-4;0.0012321048;24;0.0;0;3;0.004027225655245822
aszalt szilva;aszalt szilva;;ingredient;5;5.0;6.0;0.2777408637873754;0.2956738437001611;926.3451735422501;0.0010273922716904037;0;0.0058014514;0.0023117333;26;0.0;0;1;0.018188425772621083
A szederjes viola-julepet, azaz viola-szirupot így csináld;A szederjes viola-julepet, azaz viola-szirupot így csináld;;dish;3;3.0;6.0;0.2948853615520282;0.3268740031897927;1973.225008713011;6.750373886685612E-4;0;0.0071088034;0.017840032;35;0.0;0;1;0.051569075488019284
aszúbor;aszúbor;;ingredient;4;4.0;7.0;0.26256281407035176;0.28017486899065913;856.5218980219129;9.024587167534589E-4;0;0.0037707807;0.0015025617;35;0.0;0;1;0.011762356116674842
avas zsír;avas zsír;;ingredient;4;4.0;7.0;0.2807253190060443;0.3083162451583512;178.08942236767712;7.13366468820403E-4;0;0.0037357123;0.001488596;11;0.0;0;0;0.018268967951519756
Azonban ezek is jók;Azonban ezek is jók;;dish;13;13.0;6.0;0.26100530752419604;0.28763955342902653;1675.8324139807207;0.0020260409103202317;0;0.0019038244;0.004777767;31;0.0;0;1;0.02070954281888255
bab;bab;;ingredient;1;1.0;7.0;0.2572307692307692;0.27270733652312673;0.0;3.003597247228755E-4;0;0.0034219832;0.0013635746;28;0.0;0;2;0.009446132696590465
Bába-fánk;Bába-fánk;;dish;6;6.0;6.0;0.31630722663639804;0.3507575757575757;235.94164143332682;8.070240264785788E-4;0;0.015499017;0.03889583;10;0.0;0;1;0.11321805427743574
Bába-kenyér;Bába-kenyér;;dish;10;10.0;6.0;0.3329350856232577;0.3702751196172247;1756.1316337600263;0.0013778857586727964;0;0.020332152;0.051024918;5;0.0;0;1;0.14753615174498902
Balázs-lév;Balázs-lév;;dish;10;10.0;6.0;0.339423467316281;0.3758572567783092;552.527160747591;0.0011902365570827952;0;0.03455059;0.08670706;24;0.0;0;2;0.23856978857571629
Bálmos, azaz puliszkaszerű étel;Bálmos, azaz puliszkaszerű étel;;dish;3;3.0;6.0;0.2641390205371248;0.28819776714513473;201.39629602809686;5.471816355752693E-4;0;0.0034896452;0.0087575;31;0.0;0;1;0.02600695384265942
barack;barack;;ingredient;4;4.0;6.0;0.2757255936675462;0.29389952153110194;385.0603973369209;7.577250706736743E-4;0;0.003980514;0.0015861357;39;0.0;0;1;0.013232645581101515
Barack-fánk;Barack-fánk;;dish;7;7.0;6.0;0.31654676258992803;0.3513556618819774;779.1930030241708;9.711221303140733E-4;0;0.0154079255;0.038667228;39;0.0;0;2;0.11042349739139118
Barack-liktáriom, azaz õszibarack-befõtt;Barack-liktáriom, azaz õszibarack-befõtt;;dish;5;5.0;6.0;0.26941669352239767;0.29356060606060574;512.345319028639;9.854502540283E-4;0;0.0032024814;0.008036838;33;0.0;0;1;0.02550295191930532
bárány;bárány;;ingredient;4;4.0;7.0;0.2441588785046729;0.26314080656185856;79.14332200980574;7.408806483449045E-4;0;0.002257236;8.99453E-4;12;0.0;0;0;0.008196027454759456
báránybél;báránybél;;ingredient;1;1.0;7.0;0.25565749235474006;0.271086807928914;0.0;2.955047090252886E-4;0;0.0034876256;0.0013897313;31;0.0;0;2;0.009504894022490728
Báránybél édes téjjel;Báránybél édes téjjel;;dish;10;10.0;6.0;0.3433264887063655;0.38173843700159477;1554.6702243833763;0.00136333266802723;0;0.03305357;0.0829502;31;0.0;0;2;0.23056515875644565
bárányfej;bárányfej;;ingredient;4;4.0;6.0;0.2918994413407821;0.3176834130781515;272.32187380974676;6.918634426723837E-4;0;0.005314386;0.0021176573;12;0.0;0;0;0.022831846996598418
Bárányfő hidegen;Bárányfő hidegen;;dish;8;8.0;6.0;0.31582924064979223;0.3527312599681022;1434.8340982256827;0.0011692973187639706;0;0.01829887;0.045922257;12;0.0;0;2;0.12799171085943356
Bárányfő rántva;Bárányfő rántva;;dish;10;10.0;6.0;0.3405295315682281;0.37643540669856446;1639.7077972635232;0.001331600634543352;0;0.024583451;0.061693843;12;0.0;0;1;0.17694921666467867
bárányhús;bárányhús;;ingredient;11;11.0;7.0;0.2989985693848355;0.3289786967418558;2127.712810542981;0.0017487138201287946;0;0.016253604;0.006476663;12;0.0;0;2;0.05343559357844902
Bárányhús pirítva;Bárányhús pirítva;;dish;8;8.0;6.0;0.32116788321167883;0.35849282296650703;1252.1630045598472;0.0011724018526477321;0;0.025956908;0.065140635;12;0.0;0;2;0.17842275174714528
Bárányhúst német módon;Bárányhúst német módon;;dish;9;9.0;6.0;0.3326701153999204;0.36967703349282277;774.5466918547188;0.001145768282194557;0;0.030013282;0.07532038;0;0.0;0;2;0.2073370127346317
bárányláb;bárányláb;;ingredient;4;4.0;6.0;0.2918994413407821;0.3176834130781515;272.32187380974676;6.918634426723837E-4;0;0.005314386;0.0021176573;12;0.0;0;0;0.022831846996598418
báránymáj;báránymáj;;ingredient;5;5.0;7.0;0.28708791208791207;0.31014752791068717;576.0631831090944;8.425909172505778E-4;0;0.0063367165;0.0025250267;20;0.0;0;0;0.022476075292112388
benzaldehyde;benzaldehyde;;molecule;8;8.0;6.0;0.25636307881018094;0.27894736842105194;965.9318596476028;0.001472976618775582;0;0.001910433;0.0047943555;39;0.0;0;1;0.017464620375422384
benzoic acid;benzoic acid;;molecule;2;2.0;6.0;0.2367601246105919;0.25179425837320474;250.27919090731584;5.361758632749083E-4;0;0.0012881119;0.003232605;39;0.0;0;1;0.009844836269700334
