Source,Target,Type,Id,Label,Weight
Káposzta kolozsvári módon,savanyú káposzta,Undirected,0,,1
Káposzta kolozsvári módon,tyúk,Undirected,1,,1
Káposzta kolozsvári módon,lúd,Undirected,2,,1
Káposzta kolozsvári módon,szalonna,Undirected,3,,1
Káposzta kolozsvári módon,bors,Undirected,4,,1
Káposzta kolozsvári módon,bor,Undirected,5,,1
savanyú káposzta,lactic acid,Undirected,6,,1
savanyú káposzta,acetic acid,Undirected,7,,1
savanyú káposzta,ethyl acetate,Undirected,8,,1
savanyú káposzta,dimethyl sulfide,Undirected,9,,1
savanyú káposzta,allyl isothiocyanate,Undirected,10,,1
savanyú káposzta,Töltött káposzta,Undirected,11,,1
savanyú káposzta,Káposztát közönséges módon,Undirected,12,,1
savanyú káposzta,Tejfeles káposzta,Undirected,13,,1
savanyú káposzta,Sült,Undirected,14,,1
savanyú káposzta,Káposzta ikrával,Undirected,15,,1
savanyú káposzta,Zsákvászonnal,Undirected,16,,1
savanyú káposzta,Káposztás béles,Undirected,17,,1
lactic acid,tejföl,Undirected,18,,1
lactic acid,káposztalé,Undirected,19,,1
lactic acid,aludttej,Undirected,20,,1
lactic acid,édes aludttej,Undirected,21,,1
lactic acid,édes orda,Undirected,22,,1
lactic acid,sós orda,Undirected,23,,1
lactic acid,új édes sajt,Undirected,24,,1
lactic acid,orda,Undirected,25,,1
lactic acid,lágy túró,Undirected,26,,1
acetic acid,ecet,Undirected,27,,1
acetic acid,savanyú alma,Undirected,28,,1
acetic acid,káposztalé,Undirected,29,,1
acetic acid,borecet,Undirected,30,,1
acetic acid,kovász,Undirected,31,,1
ethyl acetate,bor,Undirected,32,,1
ethyl acetate,ecet,Undirected,33,,1
ethyl acetate,mazsola,Undirected,34,,1
ethyl acetate,sör,Undirected,35,,1
ethyl acetate,gyümölcs,Undirected,36,,1
ethyl acetate,aszúbor,Undirected,37,,1
ethyl acetate,élesztő,Undirected,38,,1
ethyl acetate,borecet,Undirected,39,,1
ethyl acetate,édes bor,Undirected,40,,1
ethyl acetate,mézes bor,Undirected,41,,1
ethyl acetate,vörösbor,Undirected,42,,1
ethyl acetate,kovász,Undirected,43,,1
ethyl acetate,kenyértészta,Undirected,44,,1
dimethyl sulfide,káposztalevél,Undirected,45,,1
dimethyl sulfide,új káposzta,Undirected,46,,1
dimethyl sulfide,káposztalé,Undirected,47,,1
dimethyl sulfide,sör,Undirected,48,,1
dimethyl sulfide,tej,Undirected,49,,1
dimethyl sulfide,tojásfehérje,Undirected,50,,1
dimethyl sulfide,káposzta,Undirected,51,,1
dimethyl sulfide,fejes káposzta,Undirected,52,,1
dimethyl sulfide,kék káposzta,Undirected,53,,1
allyl isothiocyanate,káposztalevél,Undirected,54,,1
allyl isothiocyanate,új káposzta,Undirected,55,,1
allyl isothiocyanate,torma,Undirected,56,,1
allyl isothiocyanate,friss tormahajtás,Undirected,57,,1
allyl isothiocyanate,káposzta,Undirected,58,,1
tyúk,2-furfurylthiol,Undirected,59,,1
tyúk,methional,Undirected,60,,1
tyúk,hexanal,Undirected,61,,1
tyúk,"(E,E)-2,4-decadienal",Undirected,62,,1
tyúk,Német lév,Undirected,63,,1
tyúk,Egressel,Undirected,64,,1
tyúk,Tyúk tiszta borssal,Undirected,65,,1
tyúk,Éles lév,Undirected,66,,1
tyúk,Magyar lév,Undirected,67,,1
tyúk,Kocka-lév,Undirected,68,,1
tyúk,Töltött tyúk,Undirected,69,,1
tyúk,Tyúk káposzta-lévben,Undirected,70,,1
tyúk,"Kappan-lév, azaz ivartalanított kakas-lé",Undirected,71,,1
tyúk,Váradi lév,Undirected,72,,1
tyúk,Hal téjfellel,Undirected,73,,1
2-furfurylthiol,lúd,Undirected,74,,1
2-furfurylthiol,csirkehús,Undirected,75,,1
2-furfurylthiol,tyúkhús,Undirected,76,,1
2-furfurylthiol,csirke,Undirected,77,,1
2-furfurylthiol,liba,Undirected,78,,1
2-furfurylthiol,galamb,Undirected,79,,1
2-furfurylthiol,apró madarak,Undirected,80,,1
2-furfurylthiol,kappan,Undirected,81,,1
2-furfurylthiol,fiatal lúd,Undirected,82,,1
2-furfurylthiol,fiatal kacsa,Undirected,83,,1
2-furfurylthiol,fürjhús,Undirected,84,,1
methional,lúd,Undirected,85,,1
methional,marhahús,Undirected,86,,1
methional,tehénhús,Undirected,87,,1
methional,árpagyöngy,Undirected,88,,1
methional,csirkehús,Undirected,89,,1
methional,fehér kenyér,Undirected,90,,1
methional,tojás,Undirected,91,,1
methional,marhahúsleves,Undirected,92,,1
methional,főtt marhahús,Undirected,93,,1
methional,kenyér,Undirected,94,,1
methional,marha- vagy juhhúsleves,Undirected,95,,1
methional,hús,Undirected,96,,1
methional,húsleves,Undirected,97,,1
methional,húslé,Undirected,98,,1
methional,tyúkhús,Undirected,99,,1
methional,szárnyashús,Undirected,100,,1
methional,máj,Undirected,101,,1
methional,tüdő,Undirected,102,,1
methional,sajt,Undirected,103,,1
methional,kucsmagomba,Undirected,104,,1
methional,csirke,Undirected,105,,1
methional,liba,Undirected,106,,1
methional,főzőlé,Undirected,107,,1
methional,galamb,Undirected,108,,1
methional,főtt tojás,Undirected,109,,1
methional,egyéb hús,Undirected,110,,1
methional,marhaláb,Undirected,111,,1
methional,juhtüdő,Undirected,112,,1
methional,marhanyelv,Undirected,113,,1
methional,sült hús,Undirected,114,,1
methional,borjúmáj,Undirected,115,,1
methional,báránymáj,Undirected,116,,1
methional,fehér kenyérbél,Undirected,117,,1
methional,borjúhús,Undirected,118,,1
methional,apró madarak,Undirected,119,,1
methional,kappan,Undirected,120,,1
methional,fiatal lúd,Undirected,121,,1
methional,fiatal kacsa,Undirected,122,,1
methional,liba- vagy kacsaaprólék,Undirected,123,,1
methional,malactüdő,Undirected,124,,1
methional,malacmáj,Undirected,125,,1
methional,fürjhús,Undirected,126,,1
methional,tojássárgája,Undirected,127,,1
methional,tyúktojás,Undirected,128,,1
methional,lúdtojás,Undirected,129,,1
methional,cipó,Undirected,130,,1
methional,kemény sajt,Undirected,131,,1
methional,sült hal,Undirected,132,,1
methional,fenyőgomba,Undirected,133,,1
hexanal,lúd,Undirected,134,,1
hexanal,szalonna,Undirected,135,,1
hexanal,bárányhús,Undirected,136,,1
hexanal,avas zsír,Undirected,137,,1
hexanal,juhhús,Undirected,138,,1
hexanal,csirkehús,Undirected,139,,1
hexanal,tojás,Undirected,140,,1
hexanal,marhahúsleves,Undirected,141,,1
hexanal,marha- vagy juhhúsleves,Undirected,142,,1
hexanal,hús,Undirected,143,,1
hexanal,savanyú alma,Undirected,144,,1
hexanal,vadalma,Undirected,145,,1
hexanal,háj,Undirected,146,,1
hexanal,csuka,Undirected,147,,1
hexanal,húsleves,Undirected,148,,1
hexanal,zsír,Undirected,149,,1
hexanal,szalonnatepertő,Undirected,150,,1
hexanal,tepertő,Undirected,151,,1
hexanal,húslé,Undirected,152,,1
hexanal,tyúkhús,Undirected,153,,1
hexanal,szárnyashús,Undirected,154,,1
hexanal,vadhús,Undirected,155,,1
hexanal,sertéshús,Undirected,156,,1
hexanal,sertés orja (hátgerinc),Undirected,157,,1
hexanal,máj,Undirected,158,,1
hexanal,tüdő,Undirected,159,,1
hexanal,egres,Undirected,160,,1
hexanal,sertés keresztcsont,Undirected,161,,1
hexanal,malachús,Undirected,162,,1
hexanal,alma,Undirected,163,,1
hexanal,dió,Undirected,164,,1
hexanal,sertésvér,Undirected,165,,1
hexanal,csirkevér,Undirected,166,,1
hexanal,disznóhús,Undirected,167,,1
hexanal,szarvashús,Undirected,168,,1
hexanal,őzhús,Undirected,169,,1
hexanal,hal,Undirected,170,,1
hexanal,juhfej,Undirected,171,,1
hexanal,juhláb,Undirected,172,,1
hexanal,malac,Undirected,173,,1
hexanal,csirke,Undirected,174,,1
hexanal,liba,Undirected,175,,1
hexanal,köles,Undirected,176,,1
hexanal,főzőlé,Undirected,177,,1
hexanal,galamb,Undirected,178,,1
hexanal,bárányfej,Undirected,179,,1
hexanal,bárányláb,Undirected,180,,1
hexanal,egyéb hús,Undirected,181,,1
hexanal,szalonnazsír,Undirected,182,,1
