source,url,title,ingredients,instructions
nosalty,https://www.nosalty.hu/recept/parolt-lilakaposzta-mercedes-konyhajabol,Párolt lilakáposzta Mercedes konyhájából,"[""1 kis fej Vöröskáposzta"", ""1 közepes fej Vöröshagyma"", ""1 db Alma"", ""2 ek Libazsír"", ""2 ek Méz vagy cukor"", ""2 ek Vörösborecet"", ""0 dl Víz"", ""0 ízlés szerint Őrölt fűszerkömény"", ""0 ízlés szerint Só""]","[""Lereszeljük a káposztát és az almát, a hagymát vékonyra szeleteljük."", ""Felhevítjük az zsírt, hozzáadjuk a hagymát, az almát és a káposztát, rákanalazzuk a mézet, és ezt egy pár percig együtt pároljuk. Felöntjük vízzel, köménnyel és sóval ízesítjük, végül beletesszük a vörösborecetet."", ""Ezt fedő alatt pároljuk kb.20 percig.""]"
nosalty,https://www.nosalty.hu/recept/palacsinta-bettyke-konyhajabol,Palacsinta Bettyke konyhájából,"[""3 dl Tej"", ""2 dl Szódavíz vagy 1/2 kk szódabikarbóna"", ""1 dl Napraforgó olaj én olívaolajjal szoktam"", ""20 dkg Finomliszt"", ""2 db Tojás"", ""1 csipet Só""]","[""A hozzávalókat csomómentesre összekeverjük habverővel."", ""Az első sütésnél kevés olajat öntünk a palacsintasütőbe/serpenyőbe."", ""Majd kisütjük a palacsintákat. Kb. 10-15 db lesz ebből a mennyiségből.""]"
nosalty,https://www.nosalty.hu/recept/banankenyer-eletke-konyhajabol,Banánkenyér Eletke konyhájából,"[""3 közepes db Banán érett/túlérett"", ""170 g Nádcukor"", ""170 g Finomliszt"", ""170 g Margarin"", ""1 teáskanál Vaníliaaroma"", ""1 teáskanál Sütőpor""]","[""Az összes hozzávalót egy nagyobb méretű konyhai aprítógépbe rakjuk, és 1 perc után mehet a kivajazott tepsibe, majd az előmelegített, 160 fokos sütőbe 1 órára."", ""Apróra vágott diót keverhetünk még hozzá fakanállal ízlés szerint és/vagy csoki chips-et.""]"
nosalty,https://www.nosalty.hu/recept/mikulas-kalacs,Mikulás kalács,"[""120 ml Tej"", ""1 ek Cukor"", ""12 g Friss élesztő"", ""30 dkg Finomliszt"", ""3 dkg Vaj"", ""1 csipet Só"", ""1 db Tojás"", ""1 db Tojás"", ""2 db Csillagánizs vagy mazsola, szemes bors"", ""1 teáskanál Fűszerpaprika""]","[""A tej felét meglangyosítjuk, beletesszük a cukrot, és belemorzsoljuk az élesztőt."", ""A lisztet egy tálba mérjük, hozzáadjuk az olvasztott vajat, a tojást, a maradék tejet és felfuttatott élesztőt, majd szépen kidolgozzuk a tésztát."", ""Egy órát kelesztjük."", ""Ha megkelt, a kétharmadát csepp alakúra nyújtjuk, megformázzuk a sapkáját, a szemének csillagánizst teszünk."", ""A maradék tésztából szakállat és bajszot ügyeskedünk, a \""szálait\"" megcsavarjuk. A sapka végére bojtot gombócolunk."", ""A tojást szétválasztjuk, a sárgájába belekeverjük a pirospaprikát, és megkenjük vele a Mikulás sapkáját és orrát, a fehérjével pedig a többi részét."", ""Pihentetjük kicsit, közben előmelegítjük a sütőt, és 180 fokon, kb. 25 perc alatt megsütjük.""]"
nosalty,https://www.nosalty.hu/recept/gombas-tejszines-csirkecomb,Gombás-tejszínes csirkecomb,"[""2 kg Burgonya"", ""6 db Csirkecomb felső"", ""1 teáskanál Só"", ""2 evőkanál Finomliszt"", ""2 dl Főzőtejszín"", ""2 dkg Trappista sajt"", ""2 dkg Füstölt sajt"", ""10 dkg Füstölt szalonna"", ""1 nagy fej Vöröshagyma"", ""1 gerezd Fokhagyma nagyobb"", ""25 dkg Gomba"", ""0 ízlés szerint Só"", ""0 ízlés szerint Bors"", ""0 ízlés szerint Ételízesítő""]","[""A krumplit megpucoljuk, vékonyra felkarikázzuk megmossuk."", ""A csirkecombok bőrét lehúzzuk, kicsontozzuk,megmossuk, besózzuk."", ""A gombát megpucoljuk, vékonyra szeleteljük."", ""A szalonnát kockákra vágjuk, mikor kiengedett már a zsírjából,a hagymát szintén kockákra vágva mellétesszük, üvegesre dinszteljük."", ""Ha üveges már a hagyma, beletesszük a gombát, belenyomjuk a fokhagymagerezdet sózzuk,ételízesítővel megszórjuk, borsozzuk, kicsit megpároljuk."", ""A krumplit jénaiba vagy tepsibe tesszük, megsózzuk."", ""A csirkecombokat leheletnyi lisztben megforgatjuk, és rátesszük a krumplira."", ""Evőkanállal eloszlatjuk a combokon a gombás ragut (levével együtt)."", ""Egyenletesen leöntjük a tejszínnel az egészet, alufóliával szorosan letakarjuk."", ""Kb 1 órát sütjük, ha puha a húsés a krumpli, levesszük a fóliát, ésmég kb. 15 percet tovább sütjük, hogy a leve nagyjából elpárologjon."", ""Ha megsült, elzárjuk a sütőt, rászórjuk a sajtot (krumplira is), és csak addig toljuk vissza a sűtőbe, míg ráolvad a sajt.""]"
nosalty,https://www.nosalty.hu/recept/sajtos-pizzas-csavart,Sajtos pizzás csavart,"[""180 g Ketchup"", ""1 teáskanál Oregánó vagy bazsalikom"", ""2 ek Olívaolaj"", ""1 gerezd Fokhagyma"", ""0 ízlés szerint Bors"", ""1 csomag Leveles tészta mirelit"", ""10 dkg Sajt reszelt""]","[""A ketchupot, az oregánot, az olívaolajat, borsot, zúzott fokhagymát elkeverjük, és addig állni hagyjuk, míg a tésztával foglalatoskodunk."", ""A felengedett tésztát lisztezett deszkán téglalap alakúra nyújtjuk. Az egyik felére kenjük a fűszerezett paradicsomszószt, erre reszeljük rá a sajtot,majd ráhatjuk a tésztát. Éles késsel vagy pizzavágóval 1 cm széles csíkokra vágjuk. Sütőpapírra rakjuk, és itt csarvajuk meg."", ""200 fokos sütőben 15-20 perc alatt megsütjük. 16 darab lesz belőle.""]"
nosalty,https://www.nosalty.hu/recept/tavaszi-rizs-vicsys-konyhajabol,Tavaszi rizs vicsys konyhájából,"[""5 dkg Rizs 2 marék"", ""1 kis db Sárgarépa"", ""1 kis db Fehérrépa"", ""4 közepes db Gomba"", ""1 csokor Petrezselyem kicsi"", ""5 dkg Vaj"", ""0 dl Víz"", ""1 késhegynyi Cukor"", ""0 ízlés szerint Só"", ""0 ízlés szerint Bors""]","[""A rizst átmossuk egy kevés langyos vízben, és addig cseréljük rajta az öblítővizet, míg eltűnik az opálossága."", ""Kb. fél liter (bőséges) vízben feltesszük főzni."", ""A zöldséget és répát apró (5 mm-es) kockára vágjuk, a gombát pedig vékonyan felszeleteljük."", ""A vajat felmelegítjük egy kis edényben, és rátesszük a felvágott zöldségeket, valamint az apróra aprított petrezselyem zöldjét. Sózzuk, borsozzuk, és ráhintjük a cukrot. Hozzáöntjük a vizet."", ""A zöldségeket fedő alatt kis lángon pároljuk puhulásig."", ""Ha a rizs megfőtt, leszűrjük, és a megpárolt zöldségekhez keverjük."", ""Ha kell, sózzuk, és frissen őrölt borssal fűszerezzük.""]"
nosalty,https://www.nosalty.hu/recept/meggyes-pite-9,Meggyes pite 9.,"[""40 dkg Finomliszt"", ""25 dkg Vaj"", ""12 dkg Melaszos nádcukor"", ""2 ek Tejföl"", ""1 db Tojássárgája"", ""1 csomag Sütőpor"", ""1 csipet Só"", ""bio 0 db Citrom leve és reszelt héja"", ""1 db Tojássárgája a kenéshez"", ""2 kg Meggy vagy meggybefőtt"", ""5 ek Melaszos nádcukor"", ""1 tk Fahéj"", ""3 evőkanál Búzadara""]","[""A lisztet a sütőporral egy nagyobb tálba szitáljuk, hozzáadjuk a nádcukrot, a tojássárgáját, a vajat kockára vágva, a tejfölt, a sót, a fél citrom levét és a reszelt héját. Az egészet addig gyúrjuk, míg teljesen összeáll a tészta. Frissentartó fóliába csomagoljuk, és 1-2 órára a hűtőbe tesszük."", ""Míg a tészta pihen, addig a meggyet alaposan megmossuk, és kimagozzuk. Miután kimagoztuk, kinyomkodjuk a levét. Ha befőttből készítjük, akkor is kinyomkodjuk, és lecsepegtetjük, de kevesebb cukrot adunk hozzá, mivel a befőtt már cukrozott."", ""A tésztát miután eleget pihent, kivesszük a fóliából, lisztezett deszkán átgyúrjuk, majd kétfelé vágjuk, és akkorára nyújtjuk, amekkora a tepsi mérete. A tepsi aljára szilikonlapot teszünk, vagy kibéleljük sütőpapírral, és a kinyújtott tésztát lazán feltekerve a sodrófára, ráfektetjük a tepsire. A tésztát megszórjuk egy marék búzadarával, hogy legyen, ami felszívja a meggy még megmaradt levét, és ne ázzon el a tészta. Ezután rátesszük a kinyomkodott meggyet, megszórjuk a maradék búzadarával, a cukorral és a fahéjjal."", ""Kinyújtjuk a tészta másik felét, és ráfektetjük a meggy tetejére. Egy tojássárgájával lekenjük, és villával megszúrkáljuk. Előmelegített sütőbe tesszük, és készre sütjük."", ""Miután megsült, egy kicsit hagyjuk hűlni, majd kockákra vágjuk, a tetejét porcukorral megszórjuk.""]"
nosalty,https://www.nosalty.hu/recept/pizzakremes-pogacsa,Pizzakrémes pogácsa,"[""100 dkg Finomliszt"", ""350 g Tejföl 1 nagy tejföl"", ""1 ek Só"", ""25 dkg Vaj"", ""5 dkg Élesztő"", ""2 dl Tej kb."", ""200 ml Pizzaszósz pizzakrém, 1-2 tubus"", ""15 dkg Trappista sajt tetejére"", ""1 db Tojás kenéshez""]","[""A lisztet, tejfölt, sót, vajat egy keverőtálba tesszük."", ""Az élesztőt kevés, kb. 1 dl langyos tejben morzsoljuk, és elkeverjük."", ""Majd beleöntjük az élesztős tejet a többi alapanyaghoz. A maradék tejet is hozzáadjuk."", ""Jól összegyúrjuk ez egészet, ha túl ragadós a tészta, kis lisztet még adjunk hozzá. (Nem kell pihentetni a tésztát!)"", ""Az asztalra rakjuk és kinyújtjuk, majd félbehajtjuk, azt is félbe, és kinyújtjuk újra. 2-3× ismételjük meg!"", ""Ezután jöhet a szaggatás. Bármilyen pohár megfelel a célnak, ki milyen méretben szeretné."", ""A kiszaggatott pogácsákat a tepsibe helyezzük (ne túl közel egymáshoz). Majd kenjük meg a tetejét tojással."", ""Ezután mehet rá a pizzakrém, a tetejére a sajt, és mehet a sütőbe.""]"
nosalty,https://www.nosalty.hu/recept/vega-krumplipaprikas,Vega krumplipaprikás,"[""1 ek Napraforgó olaj"", ""2 közepes fej Vöröshagyma"", ""1 kg Burgonya"", ""1 közepes db Paradicsom"", ""0 közepes db Paprika"", ""1 db Tojás"", ""10 dkg Finomliszt"", ""1 ek Fűszerpaprika"", ""0 ízlés szerint Ételízesítő"", ""0 ízlés szerint Só"", ""0 ízlés szerint Bors"", ""0 ízlés szerint Babérlevél""]","[""A hagymát felaprítjuk, megdinszteljük."", ""Ha kész, levesszük a tűzről, hozzáadjuk a pirospaprikát, elkeverjük, majd jöhet a nagy cikkekre vágott krumpli."", ""Felöntjük vízzel, hozzáadjuk a paradicsomot, a paprikát, a babérlevelet és ízesítjük."", ""Amíg fő, felütjük a tojást, adunk hozzá még kb egy tojásnyi vizet, kevés sót és kikeverjük. Hozzáadjuk a lisztet és félig kemény tésztát gyúrunk."", ""Ha a krumpli lassan megfőtt, hozzászaggatjuk a tésztát, és készre főzzük.""]"
